source_pos,destination_pos,pair,count,percentage,source_category_error_rate
NOUN,NOUN,NOUN -> NOUN,1350,16.6976,0.144447
VERB,VERB,VERB -> VERB,501,6.1967,0.116349
NOUN,VERB,NOUN -> VERB,400,4.9474,0.042799
NUM,DET,NUM -> DET,329,4.0693,0.389810
ADJ,ADJ,ADJ -> ADJ,286,3.5374,0.079290
VERB,NOUN,VERB -> NOUN,232,2.8695,0.053878
ADJ,NOUN,ADJ -> NOUN,210,2.5974,0.058220
NOUN,ADJ,NOUN -> ADJ,206,2.5479,0.022042
PRON,PRON,PRON -> PRON,187,2.3129,0.045744
NOUN,PROPN,NOUN -> PROPN,179,2.2140,0.019153
DET,DET,DET -> DET,167,2.0656,0.034690
PROPN,NOUN,PROPN -> NOUN,137,1.6945,0.131858
CCONJ,DET,CCONJ -> DET,125,1.5461,0.075347
CCONJ,ADP,CCONJ -> ADP,114,1.4100,0.068716
NOUN,ADV,NOUN -> ADV,93,1.1503,0.009951
ADJ,VERB,ADJ -> VERB,89,1.1008,0.024674
NOUN,PRON,NOUN -> PRON,83,1.0266,0.008881
ADV,NOUN,ADV -> NOUN,81,1.0019,0.022494
ADP,DET,ADP -> DET,80,0.9895,0.016343
NUM,ADP,NUM -> ADP,71,0.8782,0.084123
NOUN,ADP,NOUN -> ADP,69,0.8534,0.007383
DET,NOUN,DET -> NOUN,68,0.8411,0.014125
NOUN,AUX,NOUN -> AUX,67,0.8287,0.007169
ADV,ADV,ADV -> ADV,66,0.8163,0.018328
DET,ADP,DET -> ADP,65,0.8040,0.013502
ADV,ADP,ADV -> ADP,64,0.7916,0.017773
PRON,NOUN,PRON -> NOUN,64,0.7916,0.015656
VERB,ADJ,VERB -> ADJ,62,0.7669,0.014399
PROPN,ADJ,PROPN -> ADJ,59,0.7297,0.056785
PROPN,PROPN,PROPN -> PROPN,58,0.7174,0.055823
ADP,ADP,ADP -> ADP,57,0.7050,0.011645
AUX,AUX,AUX -> AUX,57,0.7050,0.024245
PRON,DET,PRON -> DET,53,0.6555,0.012965
