dep_tag,count,percentage
ROOT,12595,30.6500
acl,20,0.0487
acl:relcl,47,0.1144
advcl,161,0.3918
advmod,3316,8.0695
amod,1447,3.5213
appos,180,0.4380
aux,489,1.1900
aux:pass,68,0.1655
case,3519,8.5635
cc,1529,3.7208
ccomp,88,0.2141
compound:prt,423,1.0294
conj,709,1.7254
cop,1065,2.5917
csubj,19,0.0462
dep,62,0.1509
det,4543,11.0554
expl,111,0.2701
expl:pv,4,0.0097
fixed,1039,2.5284
flat,119,0.2896
iobj,11,0.0268
mark,1009,2.4554
nmod,936,2.2778
nmod:poss,525,1.2776
nsubj,3675,8.9431
nsubj:pass,32,0.0779
nummod,102,0.2482
obj,837,2.0368
obl,1516,3.6892
obl:agent,4,0.0097
parataxis,314,0.7641
punct,150,0.3650
xcomp,429,1.0440
TOTAL,41093,100.0000
