source_pos,destination_pos,pair,count,percentage,source_category_error_rate
NOUN,NOUN,NOUN -> NOUN,1621,17.7741,0.173443
VERB,VERB,VERB -> VERB,482,5.2851,0.111937
NOUN,VERB,NOUN -> VERB,452,4.9561,0.048363
NUM,DET,NUM -> DET,344,3.7719,0.407583
VERB,NOUN,VERB -> NOUN,327,3.5855,0.075941
ADJ,ADJ,ADJ -> ADJ,309,3.3882,0.085667
ADJ,NOUN,ADJ -> NOUN,291,3.1908,0.080676
NOUN,PROPN,NOUN -> PROPN,261,2.8618,0.027926
PRON,PRON,PRON -> PRON,234,2.5658,0.057241
DET,DET,DET -> DET,224,2.4561,0.046531
NOUN,ADJ,NOUN -> ADJ,201,2.2039,0.021507
PROPN,NOUN,PROPN -> NOUN,140,1.5351,0.134745
NOUN,PRON,NOUN -> PRON,123,1.3487,0.013161
NOUN,ADV,NOUN -> ADV,117,1.2829,0.012519
CCONJ,DET,CCONJ -> DET,107,1.1732,0.064497
ADV,NOUN,ADV -> NOUN,106,1.1623,0.029436
ADJ,VERB,ADJ -> VERB,103,1.1294,0.028556
NOUN,ADP,NOUN -> ADP,100,1.0965,0.010700
CCONJ,ADP,CCONJ -> ADP,91,0.9978,0.054852
DET,CCONJ,DET -> CCONJ,89,0.9759,0.018488
PROPN,PROPN,PROPN -> PROPN,83,0.9101,0.079885
PRON,NOUN,PRON -> NOUN,78,0.8553,0.019080
ADP,ADJ,ADP -> ADJ,74,0.8114,0.015117
VERB,ADJ,VERB -> ADJ,74,0.8114,0.017185
ADP,DET,ADP -> DET,73,0.8004,0.014913
NOUN,AUX,NOUN -> AUX,72,0.7895,0.007704
PRON,DET,PRON -> DET,70,0.7675,0.017123
ADJ,PROPN,ADJ -> PROPN,68,0.7456,0.018852
ADP,ADP,ADP -> ADP,67,0.7346,0.013687
AUX,AUX,AUX -> AUX,66,0.7237,0.028073
DET,ADP,DET -> ADP,66,0.7237,0.013710
VERB,PROPN,VERB -> PROPN,66,0.7237,0.015327
ADP,CCONJ,ADP -> CCONJ,64,0.7018,0.013075
NOUN,DET,NOUN -> DET,64,0.7018,0.006848
PROPN,ADJ,PROPN -> ADJ,60,0.6579,0.057748
ADV,ADJ,ADV -> ADJ,58,0.6360,0.016107
NOUN,SYM,NOUN -> SYM,58,0.6360,0.006206
NUM,ADP,NUM -> ADP,58,0.6360,0.068720
ADP,NOUN,ADP -> NOUN,57,0.6250,0.011645
ADV,ADV,ADV -> ADV,54,0.5921,0.014996
NUM,CCONJ,NUM -> CCONJ,53,0.5811,0.062796
DET,VERB,DET -> VERB,48,0.5263,0.009971
VERB,ADV,VERB -> ADV,48,0.5263,0.011147
ADJ,DET,ADJ -> DET,47,0.5154,0.013030
PRON,VERB,PRON -> VERB,47,0.5154,0.011497
DET,PRON,DET -> PRON,45,0.4934,0.009348
PRON,ADV,PRON -> ADV,44,0.4825,0.010763
VERB,PRON,VERB -> PRON,44,0.4825,0.010218
PROPN,VERB,PROPN -> VERB,43,0.4715,0.041386
ADP,VERB,ADP -> VERB,42,0.4605,0.008580
ADV,PRON,ADV -> PRON,41,0.4496,0.011386
DET,NOUN,DET -> NOUN,40,0.4386,0.008309
VERB,ADP,VERB -> ADP,40,0.4386,0.009289
ADJ,ADV,ADJ -> ADV,38,0.4167,0.010535
ADV,ADP,ADV -> ADP,38,0.4167,0.010553
PROPN,PRON,PROPN -> PRON,37,0.4057,0.035611
VERB,AUX,VERB -> AUX,37,0.4057,0.008593
PRON,ADJ,PRON -> ADJ,34,0.3728,0.008317
ADJ,PRON,ADJ -> PRON,33,0.3618,0.009149
ADP,ADV,ADP -> ADV,33,0.3618,0.006742
NOUN,NUM,NOUN -> NUM,32,0.3509,0.003424
PRON,AUX,PRON -> AUX,32,0.3509,0.007828
AUX,NOUN,AUX -> NOUN,31,0.3399,0.013186
NUM,NOUN,NUM -> NOUN,31,0.3399,0.036730
PRON,PROPN,PRON -> PROPN,31,0.3399,0.007583
ADJ,ADP,ADJ -> ADP,29,0.3180,0.008040
DET,ADJ,DET -> ADJ,29,0.3180,0.006024
VERB,DET,VERB -> DET,29,0.3180,0.006735
ADV,DET,ADV -> DET,28,0.3070,0.007776
ADV,VERB,ADV -> VERB,27,0.2961,0.007498
NOUN,CCONJ,NOUN -> CCONJ,27,0.2961,0.002889
SYM,NOUN,SYM -> NOUN,27,0.2961,0.082822
ADV,PROPN,ADV -> PROPN,25,0.2741,0.006943
PROPN,CCONJ,PROPN -> CCONJ,25,0.2741,0.024062
DET,PROPN,DET -> PROPN,24,0.2632,0.004985
AUX,VERB,AUX -> VERB,23,0.2522,0.009783
ADV,CCONJ,ADV -> CCONJ,22,0.2412,0.006109
NUM,ADJ,NUM -> ADJ,22,0.2412,0.026066
PROPN,ADV,PROPN -> ADV,21,0.2303,0.020212
ADP,PRON,ADP -> PRON,20,0.2193,0.004086
DET,ADV,DET -> ADV,20,0.2193,0.004155
ADP,SCONJ,ADP -> SCONJ,18,0.1974,0.003677
ADP,SYM,ADP -> SYM,18,0.1974,0.003677
ADJ,SYM,ADJ -> SYM,17,0.1864,0.004713
NUM,VERB,NUM -> VERB,16,0.1754,0.018957
VERB,NUM,VERB -> NUM,16,0.1754,0.003716
ADP,PROPN,ADP -> PROPN,15,0.1645,0.003064
NUM,NUM,NUM -> NUM,15,0.1645,0.017773
PROPN,DET,PROPN -> DET,15,0.1645,0.014437
ADV,SYM,ADV -> SYM,14,0.1535,0.003888
NUM,PRON,NUM -> PRON,14,0.1535,0.016588
VERB,SYM,VERB -> SYM,14,0.1535,0.003251
ADJ,CCONJ,ADJ -> CCONJ,13,0.1425,0.003604
AUX,PRON,AUX -> PRON,13,0.1425,0.005530
SYM,ADJ,SYM -> ADJ,13,0.1425,0.039877
SYM,ADP,SYM -> ADP,13,0.1425,0.039877
ADJ,AUX,ADJ -> AUX,12,0.1316,0.003327
PRON,ADP,PRON -> ADP,12,0.1316,0.002935
PRON,SYM,PRON -> SYM,12,0.1316,0.002935
PROPN,SYM,PROPN -> SYM,12,0.1316,0.011550
CCONJ,NOUN,CCONJ -> NOUN,11,0.1206,0.006631
PROPN,ADP,PROPN -> ADP,11,0.1206,0.010587
SYM,ADV,SYM -> ADV,11,0.1206,0.033742
VERB,CCONJ,VERB -> CCONJ,11,0.1206,0.002555
ADP,AUX,ADP -> AUX,10,0.1096,0.002043
AUX,ADJ,AUX -> ADJ,10,0.1096,0.004254
SYM,VERB,SYM -> VERB,10,0.1096,0.030675
ADJ,NUM,ADJ -> NUM,9,0.0987,0.002495
ADP,NUM,ADP -> NUM,9,0.0987,0.001839
ADV,AUX,ADV -> AUX,9,0.0987,0.002499
ADV,NUM,ADV -> NUM,9,0.0987,0.002499
AUX,DET,AUX -> DET,9,0.0987,0.003828
NUM,PROPN,NUM -> PROPN,9,0.0987,0.010664
SYM,DET,SYM -> DET,9,0.0987,0.027607
SYM,PRON,SYM -> PRON,9,0.0987,0.027607
AUX,PROPN,AUX -> PROPN,8,0.0877,0.003403
DET,AUX,DET -> AUX,8,0.0877,0.001662
NOUN,SCONJ,NOUN -> SCONJ,8,0.0877,0.000856
PRON,CCONJ,PRON -> CCONJ,8,0.0877,0.001957
SYM,PROPN,SYM -> PROPN,8,0.0877,0.024540
VERB,SCONJ,VERB -> SCONJ,8,0.0877,0.001858
AUX,ADV,AUX -> ADV,7,0.0768,0.002977
INTJ,PRON,INTJ -> PRON,7,0.0768,0.118644
PRON,SCONJ,PRON -> SCONJ,7,0.0768,0.001712
PROPN,INTJ,PROPN -> INTJ,7,0.0768,0.006737
SCONJ,NOUN,SCONJ -> NOUN,7,0.0768,0.010542
SYM,CCONJ,SYM -> CCONJ,7,0.0768,0.021472
AUX,ADP,AUX -> ADP,6,0.0658,0.002552
CCONJ,PRON,CCONJ -> PRON,6,0.0658,0.003617
DET,SYM,DET -> SYM,6,0.0658,0.001246
NUM,ADV,NUM -> ADV,6,0.0658,0.007109
PRON,INTJ,PRON -> INTJ,6,0.0658,0.001468
PROPN,AUX,PROPN -> AUX,6,0.0658,0.005775
SYM,SYM,SYM -> SYM,6,0.0658,0.018405
CCONJ,CCONJ,CCONJ -> CCONJ,5,0.0548,0.003014
CCONJ,VERB,CCONJ -> VERB,5,0.0548,0.003014
DET,NUM,DET -> NUM,5,0.0548,0.001039
DET,SCONJ,DET -> SCONJ,5,0.0548,0.001039
SCONJ,ADP,SCONJ -> ADP,5,0.0548,0.007530
SCONJ,PRON,SCONJ -> PRON,5,0.0548,0.007530
SCONJ,SCONJ,SCONJ -> SCONJ,5,0.0548,0.007530
SYM,INTJ,SYM -> INTJ,5,0.0548,0.015337
AUX,CCONJ,AUX -> CCONJ,4,0.0439,0.001701
