speech_type,model,source_group,destination_group,pair,count,percentage,source_group_error_rate,total_substitutions,source_group_reference_count
read,chirp,open_class,open_class,open_class -> open_class,4332,53.5807,0.197286,8085,21958
read,chirp,open_class,closed_class,open_class -> closed_class,944,11.6759,0.042991,8085,21958
read,chirp,open_class,other,open_class -> other,103,1.2740,0.004691,8085,21958
read,chirp,closed_class,open_class,closed_class -> open_class,718,8.8806,0.037173,8085,19315
read,chirp,closed_class,closed_class,closed_class -> closed_class,1771,21.9048,0.091690,8085,19315
read,chirp,closed_class,other,closed_class -> other,86,1.0637,0.004452,8085,19315
read,chirp,other,open_class,other -> open_class,72,0.8905,0.205714,8085,350
read,chirp,other,closed_class,other -> closed_class,55,0.6803,0.157143,8085,350
read,chirp,other,other,other -> other,4,0.0495,0.011429,8085,350
read,whisper,open_class,open_class,open_class -> open_class,5099,55.9101,0.232216,9120,21958
read,whisper,open_class,closed_class,open_class -> closed_class,1010,11.0746,0.045997,9120,21958
read,whisper,open_class,other,open_class -> other,120,1.3158,0.005465,9120,21958
read,whisper,closed_class,open_class,closed_class -> open_class,830,9.1009,0.042972,9120,19315
read,whisper,closed_class,closed_class,closed_class -> closed_class,1887,20.6908,0.097696,9120,19315
read,whisper,closed_class,other,closed_class -> other,40,0.4386,0.002071,9120,19315
read,whisper,other,open_class,other -> open_class,76,0.8333,0.217143,9120,350
read,whisper,other,closed_class,other -> closed_class,52,0.5702,0.148571,9120,350
read,whisper,other,other,other -> other,6,0.0658,0.017143,9120,350
hmi,chirp,open_class,open_class,open_class -> open_class,1816,44.8727,0.161897,4047,11217
hmi,chirp,open_class,closed_class,open_class -> closed_class,698,17.2473,0.062227,4047,11217
hmi,chirp,open_class,other,open_class -> other,63,1.5567,0.005616,4047,11217
hmi,chirp,closed_class,open_class,closed_class -> open_class,369,9.1179,0.042099,4047,8765
hmi,chirp,closed_class,closed_class,closed_class -> closed_class,919,22.7082,0.104849,4047,8765
hmi,chirp,closed_class,other,closed_class -> other,64,1.5814,0.007302,4047,8765
hmi,chirp,other,open_class,other -> open_class,49,1.2108,0.166667,4047,294
hmi,chirp,other,closed_class,other -> closed_class,63,1.5567,0.214286,4047,294
hmi,chirp,other,other,other -> other,6,0.1483,0.020408,4047,294
hmi,whisper,open_class,open_class,open_class -> open_class,2203,46.8225,0.196398,4705,11217
hmi,whisper,open_class,closed_class,open_class -> closed_class,751,15.9617,0.066952,4705,11217
hmi,whisper,open_class,other,open_class -> other,42,0.8927,0.003744,4705,11217
hmi,whisper,closed_class,open_class,closed_class -> open_class,513,10.9033,0.058528,4705,8765
hmi,whisper,closed_class,closed_class,closed_class -> closed_class,1057,22.4655,0.120593,4705,8765
hmi,whisper,closed_class,other,closed_class -> other,17,0.3613,0.001940,4705,8765
hmi,whisper,other,open_class,other -> open_class,46,0.9777,0.156463,4705,294
hmi,whisper,other,closed_class,other -> closed_class,73,1.5515,0.248299,4705,294
hmi,whisper,other,other,other -> other,3,0.0638,0.010204,4705,294
