speech_type,model,rank,source_pos,destination_pos,pair,count,percentage,category_error_rate,source_category_reference_count
read,chirp,1,NUM,DET,NUM -> DET,329,4.0693,0.389810,844
read,chirp,2,NOUN,NOUN,NOUN -> NOUN,1350,16.6976,0.144447,9346
read,chirp,3,PROPN,NOUN,PROPN -> NOUN,137,1.6945,0.131858,1039
read,chirp,4,VERB,VERB,VERB -> VERB,501,6.1967,0.116349,4306
read,chirp,5,NUM,ADP,NUM -> ADP,71,0.8782,0.084123,844
read,chirp,6,ADJ,ADJ,ADJ -> ADJ,286,3.5374,0.079290,3607
read,chirp,7,SYM,NOUN,SYM -> NOUN,25,0.3092,0.076687,326
read,chirp,8,CCONJ,DET,CCONJ -> DET,125,1.5461,0.075347,1659
read,chirp,9,CCONJ,ADP,CCONJ -> ADP,114,1.4100,0.068716,1659
read,chirp,10,ADJ,NOUN,ADJ -> NOUN,210,2.5974,0.058220,3607
read,whisper,1,NUM,DET,NUM -> DET,344,3.7719,0.407583,844
read,whisper,2,NOUN,NOUN,NOUN -> NOUN,1621,17.7741,0.173443,9346
read,whisper,3,PROPN,NOUN,PROPN -> NOUN,140,1.5351,0.134745,1039
read,whisper,4,VERB,VERB,VERB -> VERB,482,5.2851,0.111937,4306
read,whisper,5,ADJ,ADJ,ADJ -> ADJ,309,3.3882,0.085667,3607
read,whisper,6,SYM,NOUN,SYM -> NOUN,27,0.2961,0.082822,326
read,whisper,7,ADJ,NOUN,ADJ -> NOUN,291,3.1908,0.080676,3607
read,whisper,8,PROPN,PROPN,PROPN -> PROPN,83,0.9101,0.079885,1039
read,whisper,9,VERB,NOUN,VERB -> NOUN,327,3.5855,0.075941,4306
read,whisper,10,NUM,ADP,NUM -> ADP,58,0.6360,0.068720,844
hmi,chirp,1,NUM,DET,NUM -> DET,65,1.6061,0.213816,304
hmi,chirp,2,NOUN,NOUN,NOUN -> NOUN,413,10.2051,0.132840,3109
hmi,chirp,3,PROPN,PROPN,PROPN -> PROPN,93,2.2980,0.117871,789
hmi,chirp,4,SYM,PRON,SYM -> PRON,29,0.7166,0.102473,283
hmi,chirp,5,ADJ,ADJ,ADJ -> ADJ,151,3.7312,0.088667,1703
hmi,chirp,6,PROPN,NOUN,PROPN -> NOUN,67,1.6555,0.084918,789
hmi,chirp,7,PROPN,PRON,PROPN -> PRON,63,1.5567,0.079848,789
hmi,chirp,8,PRON,PRON,PRON -> PRON,246,6.0786,0.076923,3198
hmi,chirp,9,VERB,VERB,VERB -> VERB,186,4.5960,0.064138,2900
hmi,chirp,10,DET,DET,DET -> DET,77,1.9026,0.053509,1439
hmi,whisper,1,NUM,DET,NUM -> DET,75,1.5940,0.246711,304
hmi,whisper,2,NOUN,NOUN,NOUN -> NOUN,496,10.5420,0.159537,3109
hmi,whisper,3,PROPN,NOUN,PROPN -> NOUN,88,1.8704,0.111534,789
hmi,whisper,4,ADJ,ADJ,ADJ -> ADJ,174,3.6982,0.102173,1703
hmi,whisper,5,SYM,PRON,SYM -> PRON,28,0.5951,0.098940,283
hmi,whisper,6,PRON,PRON,PRON -> PRON,274,5.8236,0.085679,3198
hmi,whisper,7,VERB,VERB,VERB -> VERB,244,5.1860,0.084138,2900
hmi,whisper,8,PROPN,PROPN,PROPN -> PROPN,65,1.3815,0.082383,789
hmi,whisper,9,DET,DET,DET -> DET,102,2.1679,0.070883,1439
hmi,whisper,10,SYM,NOUN,SYM -> NOUN,17,0.3613,0.060071,283
