speech_type,model,pos_tag,deletion_source_count,substitution_source_count,substitution_destination_count,insertion_destination_count
read,chirp,ADJ,198,846,820,52
read,chirp,ADP,205,434,558,142
read,chirp,ADV,154,415,376,106
read,chirp,AUX,60,192,256,56
read,chirp,CCONJ,63,290,162,33
read,chirp,DET,171,557,939,131
read,chirp,INTJ,18,19,52,53
read,chirp,NOUN,465,2628,2272,127
read,chirp,NUM,85,545,199,14
read,chirp,PRON,140,519,599,171
read,chirp,PROPN,206,455,375,26
read,chirp,SCONJ,11,38,57,9
read,chirp,SYM,179,122,193,14
read,chirp,VERB,142,1016,1227,110
read,chirp,X,15,9,0,0
read,whisper,ADJ,191,972,888,115
read,whisper,ADP,186,503,539,245
read,whisper,ADV,146,436,405,126
read,whisper,AUX,57,182,261,63
read,whisper,CCONJ,67,234,329,109
read,whisper,DET,241,613,1023,191
read,whisper,INTJ,20,14,37,34
read,whisper,NOUN,473,3142,2771,226
read,whisper,NUM,87,574,104,38
read,whisper,PRON,171,618,632,242
read,whisper,PROPN,203,465,602,47
read,whisper,SCONJ,15,33,61,11
read,whisper,SYM,175,123,162,42
read,whisper,VERB,140,1200,1302,164
read,whisper,X,12,11,4,1
hmi,chirp,ADJ,77,387,334,32
hmi,chirp,ADP,126,250,254,65
hmi,chirp,ADV,104,313,279,80
hmi,chirp,AUX,57,90,198,68
hmi,chirp,CCONJ,60,89,90,29
hmi,chirp,DET,128,284,396,133
hmi,chirp,INTJ,55,49,103,146
hmi,chirp,NOUN,183,927,834,57
hmi,chirp,NUM,37,125,44,10
hmi,chirp,PRON,199,473,660,201
hmi,chirp,PROPN,156,342,229,12
hmi,chirp,PUNCT,0,1,1,0
hmi,chirp,SCONJ,18,41,38,11
hmi,chirp,SYM,135,112,132,14
hmi,chirp,VERB,146,559,455,92
hmi,chirp,X,5,5,0,0
hmi,whisper,ADJ,80,441,436,53
hmi,whisper,ADP,138,274,299,126
hmi,whisper,ADV,138,355,411,130
hmi,whisper,AUX,71,138,180,94
hmi,whisper,CCONJ,62,85,169,87
hmi,whisper,DET,157,339,423,165
hmi,whisper,INTJ,90,39,92,104
hmi,whisper,NOUN,172,1069,990,81
hmi,whisper,NUM,27,149,31,3
hmi,whisper,PRON,268,551,715,337
hmi,whisper,PROPN,176,328,237,13
hmi,whisper,PUNCT,1,0,0,0
hmi,whisper,SCONJ,28,51,64,18
hmi,whisper,SYM,132,118,62,13
hmi,whisper,VERB,169,764,596,176
hmi,whisper,X,6,4,0,0
