utterance_id,token_index,error_type,source_word,source_word_length,destination_word,destination_word_length
n000016-fn000029-1016.7017-1019.1551,1,substitution,ik,2,een,3
n000016-fn000029-1016.7017-1019.1551,2,substitution,kook,4,kok,3
n000016-fn000029-1020.4421-1022.1017,1,substitution,ik,2,een,3
n000016-fn000029-1024.2720-1026.8388,0,substitution,rijst,5,reis,4
n000016-fn000029-1026.8388-1029.0448,0,insertion,<ins>,<ins>,lamme,5
n000016-fn000029-1026.8388-1029.0448,1,substitution,lamvlees,8,vlees,5
n000016-fn000029-1031.4360-1032.4256,1,substitution,lui,3,de,2
n000016-fn000029-1032.4256-1034.9923,1,substitution,luisteren,9,luister,7
n000016-fn000029-1037.5956-1039.3068,1,substitution,musica,6,muziek,6
n000016-fn000029-1041.1239-1043.2474,0,deletion,ik,2,<del>,<del>
n000016-fn000029-105.7315-107.4541,0,substitution,'k,2,ik,2
n000016-fn000029-105.7315-107.4541,3,deletion,vers,4,<del>,<del>
n000016-fn000029-115.1026-116.1340,0,substitution,nee,3,eh,2
n000016-fn000029-121.3630-125.2456,0,deletion,ik,2,<del>,<del>
n000016-fn000029-121.3630-125.2456,2,substitution,reis,4,rij,3
n000016-fn000029-121.3630-125.2456,4,substitution,marrakech,9,marokko,7
n000016-fn000029-150.2448-153.2871,0,deletion,de,2,<del>,<del>
n000016-fn000029-153.2871-154.6149,0,substitution,denk,4,dank,4
n000016-fn000029-153.2871-154.6149,1,substitution,ja,2,je,2
n000016-fn000029-155.2125-157.3747,0,substitution,iets,4,is,2
n000016-fn000029-155.2125-157.3747,2,deletion,wilt,4,<del>,<del>
n000016-fn000029-155.2125-157.3747,3,substitution,ga,2,een,3
n000016-fn000029-155.2125-157.3747,4,substitution,zien,4,beetje,6
n000016-fn000029-158.7467-161.1188,2,insertion,<ins>,<ins>,zie,3
n000016-fn000029-158.7467-161.1188,3,substitution,zien,4,een,3
n000016-fn000029-161.1188-162.3681,0,deletion,ik,2,<del>,<del>
n000016-fn000029-161.1188-162.3681,1,deletion,ga,2,<del>,<del>
n000016-fn000029-161.1188-162.3681,2,substitution,zien,4,krijgen,7
n000016-fn000029-173.3562-175.1086,2,substitution,zien,4,zingen,6
n000016-fn000029-178.5822-179.6852,0,deletion,ja,2,<del>,<del>
n000016-fn000029-178.5822-179.6852,1,deletion,mijn,4,<del>,<del>
n000016-fn000029-178.5822-179.6852,2,substitution,vrouw,5,jamel,5
n000016-fn000029-196.0347-198.0654,0,deletion,het,3,<del>,<del>
n000016-fn000029-196.0347-198.0654,1,deletion,het,3,<del>,<del>
n000016-fn000029-196.0347-198.0654,2,substitution,vliegtuig,9,uit,3
n000016-fn000029-196.0347-198.0654,3,substitution,ja,2,uitvliegen,10
n000016-fn000029-206.1892-208.8694,0,insertion,<ins>,<ins>,heb,3
n000016-fn000029-206.1892-208.8694,1,substitution,onderweg,8,je,2
n000016-fn000029-215.3942-217.4043,0,insertion,<ins>,<ins>,i,1
n000016-fn000029-215.3942-217.4043,1,insertion,<ins>,<ins>,would,5
n000016-fn000029-215.3942-217.4043,2,substitution,oude,4,i,1
n000016-fn000029-215.3942-217.4043,3,substitution,oud,3,would,5
n000016-fn000029-215.3942-217.4043,4,substitution,stad,4,start,5
n000016-fn000029-256.5219-258.4290,1,deletion,gereg,5,<del>,<del>
n000016-fn000029-270.6127-272.7877,0,deletion,ja,2,<del>,<del>
n000016-fn000029-270.6127-272.7877,2,deletion,ga,2,<del>,<del>
n000016-fn000029-273.3854-274.5482,0,insertion,<ins>,<ins>,eh,2
n000016-fn000029-274.5482-276.5089,2,deletion,en,2,<del>,<del>
n000016-fn000029-274.5482-276.5089,3,deletion,drinken,7,<del>,<del>
n000016-fn000029-28.8036-29.8673,0,substitution,marrakech,9,marakish,8
n000016-fn000029-289.0841-290.1356,0,substitution,koosjer,7,costiere,8
n000016-fn000029-305.9152-307.6470,0,deletion,wilt,4,<del>,<del>
n000016-fn000029-305.9152-307.6470,1,deletion,u,1,<del>,<del>
n000016-fn000029-305.9152-307.6470,2,substitution,een,3,in,2
n000016-fn000029-305.9152-307.6470,3,substitution,reis,4,huis,4
n000016-fn000029-308.8015-310.3271,0,substitution,of,2,op,2
n000016-fn000029-317.2552-320.5023,1,insertion,<ins>,<ins>,ga,2
n000016-fn000029-317.2552-320.5023,2,substitution,gaat,4,het,3
n000016-fn000029-317.2552-320.5023,3,substitution,liever,6,leveren,7
n000016-fn000029-320.9660-323.3884,0,deletion,bekij,5,<del>,<del>
n000016-fn000029-339.2418-341.0190,1,deletion,u,1,<del>,<del>
n000016-fn000029-339.2418-341.0190,2,deletion,dat,3,<del>,<del>
n000016-fn000029-341.5550-343.4724,0,insertion,<ins>,<ins>,ik,2
n000016-fn000029-341.5550-343.4724,1,insertion,<ins>,<ins>,zou,3
n000016-fn000029-341.5550-343.4724,2,substitution,duidelijker,11,liever,6
n000016-fn000029-347.1447-348.7838,2,substitution,u,1,een,3
n000016-fn000029-347.1447-348.7838,3,substitution,niet,4,nieuw,5
n000016-fn000029-347.1447-348.7838,4,substitution,verstaan,8,vest,4
n000016-fn000029-350.4240-351.3930,0,substitution,kunt,4,en,2
n000016-fn000029-434.7399-436.9046,0,deletion,heel,4,<del>,<del>
n000016-fn000029-434.7399-436.9046,1,substitution,heel,4,hele,4
n000016-fn000029-434.7399-436.9046,2,substitution,weer,4,hele,4
n000016-fn000029-467.7158-469.4785,0,substitution,wilt,4,wil,3
n000016-fn000029-467.7158-469.4785,1,substitution,u,1,je,2
n000016-fn000029-467.7158-469.4785,3,substitution,reis,4,reisje,6
n000016-fn000029-480.7581-483.3248,0,deletion,wilt,4,<del>,<del>
n000016-fn000029-480.7581-483.3248,1,deletion,u,1,<del>,<del>
n000016-fn000029-484.7074-490.7522,0,deletion,reis,4,<del>,<del>
n000016-fn000029-484.7074-490.7522,1,deletion,reis,4,<del>,<del>
n000016-fn000029-484.7074-490.7522,2,substitution,ver,3,nice,4
n000016-fn000029-484.7074-490.7522,3,substitution,zek,3,nice,4
n000016-fn000029-497.0207-498.1650,0,substitution,het,3,uit,3
n000016-fn000029-52.1802-54.4885,2,substitution,het,3,is,2
n000016-fn000029-52.1802-54.4885,4,substitution,of,2,op,2
n000016-fn000029-52.1802-54.4885,5,substitution,winkelen,8,winkel,6
n000016-fn000029-523.3363-525.3670,1,deletion,mij,3,<del>,<del>
n000016-fn000029-523.3363-525.3670,2,substitution,mij,3,mijn,4
n000016-fn000029-533.7016-536.1343,2,substitution,tante,5,tand,4
n000016-fn000029-550.2322-552.0877,0,substitution,aan,3,en,2
n000016-fn000029-561.5899-562.6310,0,substitution,oom,3,om,2
n000016-fn000029-59.6288-61.8840,0,deletion,denk,4,<del>,<del>
n000016-fn000029-593.2375-594.8482,0,substitution,bekend,6,weekend,7
n000016-fn000029-594.8482-597.5639,0,substitution,mokunt,6,god,3
n000016-fn000029-599.2528-601.1908,0,substitution,van,3,en,2
n000016-fn000029-599.2528-601.1908,1,substitution,quiz,4,cuz,3
n000016-fn000029-603.9296-606.2593,0,deletion,u,1,<del>,<del>
n000016-fn000029-603.9296-606.2593,1,deletion,kunt,4,<del>,<del>
n000016-fn000029-603.9296-606.2593,2,deletion,nu,2,<del>,<del>
n000016-fn000029-603.9296-606.2593,3,deletion,vijf,4,<del>,<del>
n000016-fn000029-603.9296-606.2593,4,deletion,euro,4,<del>,<del>
